ANO;LOCALIDAD;SEXO;MIGRANTE;TOTAL_NACIDOS_VIVOS;TOTAL_BPN;PROPORCIÓN
2017;00 - Bogotá;Femenino;Colombiano;43908;6339;14.44
2017;18 - Rafael Uribe Uribe;Femenino;Colombiano;2287;325;14.21
2017;08 - Kennedy;Femenino;Colombiano;6375;905;14.2
2017;14 - Los Mártires;Femenino;Colombiano;495;81;16.36
2017;11 - Suba;Femenino;Colombiano;6342;928;14.63
2017;01 - Usaquén;Femenino;Colombiano;2732;381;13.95
2017;04 - San Cristóbal;Femenino;Colombiano;2491;393;15.78
2017;07 - Bosa;Femenino;Colombiano;4561;616;13.51
2017;13 - Teusaquillo;Femenino;Colombiano;576;74;12.85
2017;09 - Fontibón;Femenino;Colombiano;1813;259;14.29
2017;19 - Ciudad Bolívar;Femenino;Colombiano;4518;710;15.71
2017;10 - Engativá;Femenino;Colombiano;3910;568;14.53
2017;05 - Usme;Femenino;Colombiano;2517;352;13.98
2017;03 - Santa Fe;Femenino;Colombiano;731;110;15.05
2017;02 - Chapinero;Femenino;Colombiano;862;144;16.71
2017;06 - Tunjuelito;Femenino;Colombiano;1150;152;13.22
2017;16 - Puente Aranda;Femenino;Colombiano;1128;154;13.65
2017;15 - Antonio Nariño;Femenino;Colombiano;467;49;10.49
2017;12 - Barrios Unidos;Femenino;Colombiano;712;105;14.75
2017;17 - La Candelaria;Femenino;Colombiano;159;21;13.21
2017;99 - Sin Información;Femenino;Colombiano;74;10;13.51
2017;20 - Sumapaz;Femenino;Colombiano;8;2;25.0
2017;00 - Bogotá;Femenino;Extranjero;508;83;16.34
2017;01 - Usaquén;Femenino;Extranjero;118;19;16.1
2017;02 - Chapinero;Femenino;Extranjero;66;13;19.7
2017;04 - San Cristóbal;Femenino;Extranjero;9;4;44.44
2017;10 - Engativá;Femenino;Extranjero;43;7;16.28
2017;11 - Suba;Femenino;Extranjero;79;12;15.19
2017;08 - Kennedy;Femenino;Extranjero;51;8;15.69
2017;13 - Teusaquillo;Femenino;Extranjero;16;2;12.5
2017;18 - Rafael Uribe Uribe;Femenino;Extranjero;6;1;16.67
